PNC;Invoice No;Invoice date;pos;Art Descr;Quantity;Unit;Price;Value;Origin;Net weight;Article Code;TaricNo
503 44 32-02;4647569;15.12.2020;55;FILTER 100 PCS;5,00;ST;115,65;578,25;SE;6,75;;84212300
503 44 58-01;4647569;15.12.2020;56;TROTTLE ROD;5,00;ST;1,92;9,60;BR;0,01;;84679100
503 54 39-01;4647569;15.12.2020;57;STARTER HANDLE;5,00;ST;1,66;8,30;SE;0,10;;84679100
503 60 84-02;4647569;15.12.2020;58;CHOKE CONTROL;5,00;ST;1,26;6,30;SE;0,03;;84679100
503 60 86-01;4647569;15.12.2020;59;STARTER HOUSING;5,00;ST;8,08;40,40;BR;0,65;;84679100
503 60 88-03;4647569;15.12.2020;60;STARTER ASS'Y;3,00;ST;13,93;41,79;BR;0,75;;84679100
503 60 91-71;4647569;15.12.2020;61;CYLINDER;10,00;ST;51,44;514,40;SE;4,50;;84099100
503 62 80-01;4647569;15.12.2020;62;COVER;2,00;ST;5,20;10,40;SE;0,12;;84219990
503 62 84-01;4647569;15.12.2020;63;JET;5,00;ST;1,42;7,10;SE;0,04;;84679100
503 63 75-02;4647569;15.12.2020;64;VIBRATION ABSORBER;10,00;ST;3,57;35,70;SE;0,38;;73182900
503 63 76-03;4647569;15.12.2020;65;VIBRATION ABSORBER;10,00;ST;4,63;46,30;SE;0,44;;76169990
503 64 72-01;4647569;15.12.2020;66;GASKET SET;20,00;ST;3,56;71,20;SE;0,36;;40169300
503 71 02-03;4647569;15.12.2020;67;PAWL;10,00;ST;1,23;12,30;SE;0,06;;84679100
503 71 76-01;4647569;15.12.2020;68;WIRE;10,00;ST;3,71;37,10;SE;0,02;;85444995
503 71 82-01;4647569;15.12.2020;69;SWITCH;10,00;ST;3,59;35,90;IT;0,05;;85365011
503 71 97-01;4647569;15.12.2020;70;FELLING DOG;5,00;ST;3,56;17,80;SE;0,35;;84679100
503 73 58-01;4647569;15.12.2020;71;BUSHING;30,00;ST;1,12;33,60;TW;0,03;;40169997
503 73 81-01;4647569;15.12.2020;72;SPRING;5,00;ST;0,65;3,25;CN;0,01;;73202081
503 74 43-01;4647569;15.12.2020;73;SPRING;5,00;ST;0,86;4,30;SE;0,04;;73202089
503 75 24-01;4647569;15.12.2020;74;WASHER;10,00;ST;0,70;7,00;SE;0,06;;73182200
503 76 48-01;4647569;15.12.2020;75;PARTITION;10,00;ST;1,79;17,90;SE;0,42;;84679100
503 77 43-01;4647569;15.12.2020;76;PIPE;5,00;ST;2,23;11,15;SE;0,02;;84679100
503 77 52-01;4647569;15.12.2020;77;BUSHING;10,00;ST;1,25;12,50;SE;0,05;;73182900
503 77 59-01;4647569;15.12.2020;78;GASKET;10,00;ST;0,98;9,80;SE;0,01;;40169300
503 78 72-01;4647569;15.12.2020;79;SPRING;10,00;ST;3,00;30,00;DE;0,54;;73209030
503 85 44-01;4647569;15.12.2020;80;THROTTLE LOCK;10,00;ST;1,33;13,30;SE;0,09;;84679100
503 85 48-01;4647569;15.12.2020;81;SEALING;5,00;ST;1,44;7,20;SE;0,02;;40169300
503 85 63-01;4647569;15.12.2020;82;NUT;10,00;ST;1,11;11,10;DE;0,19;;73181699
503 85 96-01;4647569;15.12.2020;83;STARTER PULLEY;10,00;ST;3,37;33,70;PL;0,48;;84679100
503 86 25-01;4647569;15.12.2020;84;GASKET;20,00;ST;1,02;20,40;SE;0,06;;40169300
503 86 63-02;4647569;15.12.2020;85;BELLOWS;5,00;ST;4,20;21,00;SE;0,07;;84679100
503 86 64-02;4647569;15.12.2020;86;FLANGE;5,00;ST;0,85;4,25;SE;0,05;;84679100
503 86 95-02;4647569;15.12.2020;87;CONTROL;10,00;ST;1,26;12,60;SE;0,03;;84679100
503 87 33-05;4647569;15.12.2020;88;STARTER PAWL BRIDGE;5,00;ST;3,39;16,95;SE;0,14;;84679100
503 87 63-01;4647569;15.12.2020;89;STARTER PULLEY;5,00;ST;3,68;18,40;SE;0,18;;84679100
503 88 63-01;4647569;15.12.2020;90;PIN;5,00;ST;0,95;4,75;SE;0,02;;73269098
503 88 92-01;4647569;15.12.2020;91;THROTTLE ROD;20,00;ST;2,43;48,60;SE;0,10;;84679100
503 89 83-01;4647569;15.12.2020;92;INSULATOR;10,00;ST;3,39;33,90;SE;0,31;;73182900
503 92 33-01;4647569;15.12.2020;93;INSULATOR;10,00;ST;4,11;41,10;SE;0,40;;73182900
503 92 60-02;4647569;15.12.2020;94;PLATE;5,00;ST;1,54;7,70;SE;0,01;;84679100
503 93 18-01;4647569;15.12.2020;95;PINION;10,00;ST;1,94;19,40;SE;0,07;;84834025
503 93 66-01;4647569;15.12.2020;96;HOUSING;10,00;ST;2,85;28,50;JP;0,04;;84679100
504 02 86-01;4647569;15.12.2020;97;GASKET KIT;20,00;ST;4,39;87,80;CN;0,06;;40169300
504 59 70-02;4647569;15.12.2020;98;STARTER ASSY;5,00;ST;14,31;71,55;US;1,12;;84679100
505 12 87-02;4647569;15.12.2020;99;ANTIVIBRATION ELEMENT FRONT;10,00;ST;3,97;39,70;SE;0,39;;73182900
505 12 97-05;4647569;15.12.2020;100;ANTIVIBRATION ELEMENT CYLINDER;10,00;ST;3,65;36,50;SE;0,38;;73182900
505 15 79-02;4647569;15.12.2020;101;SPRING CASSETTE ASSY;10,00;ST;1,62;16,20;DE;0,45;;73209090
505 15 81-01;4647569;15.12.2020;102;STARTER PULLEY ASSY;20,00;ST;1,69;33,80;SE;0,68;;84679100
505 20 08-01;4647569;15.12.2020;103;WORM WHEEL;5,00;ST;1,44;7,20;LT;0,04;;84679100
505 27 10-01;4647569;15.12.2020;104;FILTER;5,00;ST;2,82;14,10;CN;0,08;;84212300
505 27 57-19;4647569;15.12.2020;105;SEAL RING;10,00;ST;2,59;25,90;IN;0,03;;40169300
505 30 37-35;4647569;15.12.2020;106;STARTER PULLEY;20,00;ST;3,68;73,60;BR;0,72;;84679100
505 30 92-01;4647569;15.12.2020;107;FILTER;5,00;ST;1,08;5,40;CN;0,01;;84213100
505 31 07-51;4647569;15.12.2020;108;IMPULSE PIPE;50,00;ST;1,41;70,50;SE;0,05;;40091100
505 43 53-02;4647569;15.12.2020;109;CLUTCH SPRING;20,00;ST;1,04;20,80;SE;0,08;;73202085
505 44 15-01;4647569;15.12.2020;110;CLUTCH DRUM ASSY;10,00;ST;5,45;54,50;SE;0,73;;84679100
506 01 32-02;4647569;15.12.2020;111;INLET TUBE;5,00;ST;1,99;9,95;SE;0,02;;84679100
506 01 40-04;4647569;15.12.2020;112;WIRE;10,00;ST;4,70;47,00;SE;0,04;;73121020
506 02 39-01;4647569;15.12.2020;113;PUMP PLUNGER;5,00;ST;3,94;19,70;IT;0,05;;84099100
508 04 44-09;4647569;15.12.2020;114;GASKET;5,00;ST;1,19;5,95;NO;0,03;;40169300
508 04 54-10;4647569;15.12.2020;115;PLATE;5,00;ST;0,78;3,90;NO;0,03;;84669195
510 20 53-01;4647569;15.12.2020;116;FIBER GEAR;5,00;ST;31,11;155,55;FR;1,00;;84834051
510 24 41-03;4647569;15.12.2020;117;AIR FILTER;5,00;ST;14,34;71,70;SE;1,21;;84213100
